I0910 15:36:04.914379      50 server.go:1542] Starting language server process with pid 13836
I0910 15:36:04.917379      50 server.go:1595] Language server version: 1.2.0
I0910 15:36:04.917379      50 server.go:593] Language server will attempt to listen on host localhost
I0910 15:36:04.927379      50 server.go:608] Language server listening on random port at 56961 for HTTPS (gRPC)
I0910 15:36:04.928378      50 server.go:616] Language server listening on random port at 56962 for HTTP
W0910 15:36:05.290015      30 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.290283      30 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0910 15:36:05.300643      30 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.301269      30 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
W0910 15:36:05.304806      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.304806      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.305017      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.305017      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.309985      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.309985      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.311002      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.311002      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.311002      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.311002      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.312002      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.312002      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.319763      50 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0910 15:36:05.321765      50 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
I0910 15:36:05.321765      50 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0910 15:36:05.323397      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.323909      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.324130      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.324130      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.326438      15 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.326438      15 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.326438      15 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.326438      15 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.352349      47 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.353351      47 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0910 15:36:05.384185     164 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0910 15:36:05.384185     164 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0910 15:36:05.384692     164 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.384692     164 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0910 15:36:05.384692     164 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.384692     164 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0910 15:36:05.384780     164 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.384780     164 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0910 15:36:05.399143      50 server.go:2965] Auth succeeded, refreshing features and managers
W0910 15:36:05.399143      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.399143      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0910 15:36:05.399662      50 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.399714      50 server.go:2971] State refresh took 0ms
I0910 15:36:05.399714      50 server.go:2985] [RemoteControl] Subscription callback triggered.
I0910 15:36:05.399714      50 server.go:2988] [RemoteControl] RemoteControlEnabled value: false
I0910 15:36:05.399714      50 server.go:3480] [RemoteControl] CLI launched without --remote-control, staying disconnected
I0910 15:36:05.399714      50 server.go:3298] [RemoteControl] Resolved proxyServerURL: ""
I0910 15:36:05.399714      50 profiler.go:231] Continuous pprof profiling is disabled.
I0910 15:36:05.399714     119 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0910 15:36:05.399714     119 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0910 15:36:05.399714     119 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.399714     119 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0910 15:36:05.399714     119 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.399714     119 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0910 15:36:05.399714     119 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0910 15:36:05.399714     119 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0910 15:36:05.400284      50 server.go:2491] initialized server successfully in 484.9045ms
W0910 15:36:05.400284     122 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.400801     122 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.400907     122 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.400907     122 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0910 15:36:05.400907     240 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.400907     240 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0910 15:36:05.401412       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
W0910 15:36:05.401412     240 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.401412     240 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.401412       1 common.go:150] Launching CLI mode
E0910 15:36:05.401412       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0910 15:36:05.401412       1 common.go:172] CLI app data directory: C:\Users\Usuario\.gemini\antigravity-cli
I0910 15:36:05.401412       1 server.go:285] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\Usuario\Desktop\CIC\7\LUIGI\amazon-waddle] appDataDir=C:\Users\Usuario\.gemini\antigravity-cli cascadeManager=true codeAssist=true
I0910 15:36:05.401960       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
I0910 15:36:05.409956     247 store_client.go:665] summary store: starting background reconciliation (trigger=empty_on_open)
W0910 15:36:05.409956     243 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.409956     243 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.410956     243 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.410956     243 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.410956     247 server.go:2767] ListConversations returning 0 summaries
I0910 15:36:05.410956     247 store_client.go:694] summary store: reconcile func returned 0 records, skipping
W0910 15:36:05.410956     243 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.410956       1 server.go:2057] Backend project ID updated dynamically to: default-cli-project
E0910 15:36:05.410956     243 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0910 15:36:05.410956       1 manager.go:421] Initializing CLI store manager for workspace C:\Users\Usuario\Desktop\CIC\7\LUIGI\amazon-waddle
W0910 15:36:05.410956     243 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.410956     243 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.411955       1 cli_setting_manager.go:156] applyUserSettings: no shared config permissions from C:\Users\Usuario\.gemini\config\config.json
I0910 15:36:05.412955       1 cli_setting_manager.go:92] CLI settings initialized: permissions=<nil>, toolPermission=request-review
W0910 15:36:05.412955     243 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.412955     243 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.412955     243 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.412955     243 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.413967       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
I0910 15:36:05.413967       1 manager.go:595] CLI store manager initialized successfully
I0910 15:36:05.413967       1 common.go:296] CLI store manager created successfully
I0910 15:36:05.413967       1 cli_setting_manager.go:218] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
I0910 15:36:05.413967     253 quota_manager.go:36] doRefreshQuota: skipped (not logged in)
I0910 15:36:05.425959       1 common.go:415] Starting CLI program
CLI ready for user input
W0910 15:36:05.426958     243 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.426958     243 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0910 15:36:05.426958     243 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0910 15:36:05.426958     243 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0910 15:36:05.436956     276 terminal_info_manager.go:225] Terminal detection: TERM="" altScreen=true ssh=false osc8=true
I0910 15:36:05.437955     307 gemini_extensions.go:28] Detecting Gemini extensions in C:\Users\Usuario\.gemini\extensions
I0910 15:36:05.437955     307 gemini_extensions.go:49] No extensions found
I0910 15:36:05.438957     279 keyring.go:64] keyringAuth: loaded token, expiry=2026-09-10 16:21:57.3261153 -0300 -03 expired=false
I0910 15:36:05.438957     278 auth.go:148] ChainedAuth: authenticated via keyring (effective: keyring)
I0910 15:36:05.438957     278 server_oauth.go:192] applyAuthResult: email=luclucgamer@gmail.com, authMethod=consumer, quotaProject=
I0910 15:36:05.438957     278 server_oauth.go:197] OAuth: authenticated successfully as luclucgamer@gmail.com
I0910 15:36:05.438957     278 server_oauth.go:203] b.codeAssistClient.AuthProvider (0x3166d3e00f0) is same as b.cliAuth (0x3166d3e00f0)
I0910 15:36:05.448160       1 analytics.go:178] CLI startup completed (took 553.7822ms)
W0910 15:36:05.450159     325 cache.go:163] Failed to refresh cache in background: admin controls not applicable
I0910 15:36:05.456426     309 encoder_embed.go:85] Installing/updating embedded webm_encoder binary to C:\Users\Usuario\.gemini\antigravity-cli\bin\webm_encoder.exe
W0910 15:36:05.459609     286 cache.go:163] Failed to refresh cache in background: admin controls not applicable
I0910 15:36:05.488422     331 manager.go:902] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0910 15:36:06.163245     278 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x10f59cccfc2c6f7c
I0910 15:36:06.180045     502 manager.go:1299] Reloading system slash commands and skills
I0910 15:36:06.180045     502 manager.go:1276] Reloading system slash commands
I0910 15:36:06.185115     311 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
I0910 15:36:06.667381     278 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x52c687c9fa56ddfb
I0910 15:36:06.721820     278 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
I0910 15:36:06.722801     254 experiment_manager.go:56] Starting experiment refresh after login
