ERROR: logging before google.Init: I0910 15:21:57.420244       9 server.go:1530] Starting language server process with pid 4616
ERROR: logging before google.Init: I0910 15:21:57.428744       9 server.go:1583] Language server version: 1.1.28
ERROR: logging before google.Init: I0910 15:21:57.428744       9 server.go:591] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0910 15:21:57.439159       9 server.go:606] Language server listening on random port at 56433 for HTTPS (gRPC)
ERROR: logging before google.Init: I0910 15:21:57.439675       9 server.go:614] Language server listening on random port at 56434 for HTTP
ERROR: logging before google.Init: W0910 15:21:57.764404      63 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.764404      63 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.765513      63 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.765513      63 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0910 15:21:57.773169       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.773355       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.773843       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.773904       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782285       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.782328       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782328       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.782328       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782328       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.782328       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782875       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.782875       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782875      67 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.782875      67 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.782875      67 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.783487      67 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.784535       9 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0910 15:21:57.785049       9 defaults.go:774] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0910 15:21:57.785635       9 manager.go:108] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0910 15:21:57.786203       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.786203       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.786741       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.786822       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.845266       9 server.go:2948] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: W0910 15:21:57.846266       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.846266       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.846266       9 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:2954] State refresh took 0ms
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:2968] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:2971] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:3463] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:3281] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0910 15:21:57.846266       9 profiler.go:231] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      75 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0910 15:21:57.849268      79 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
ERROR: logging before google.Init: W0910 15:21:57.857267      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.857267      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.857267      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.858267      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.846266       9 server.go:2474] initialized server successfully in 425.4978ms
ERROR: logging before google.Init: I0910 15:21:57.868103       1 auto_updater.go:305] Spawned background update process with PID 12488
ERROR: logging before google.Init: I0910 15:21:57.868103       1 common.go:150] Launching CLI mode
ERROR: logging before google.Init: E0910 15:21:57.868610       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0910 15:21:57.868610       1 common.go:172] CLI app data directory: C:\Users\Usuario\.gemini\antigravity-cli
ERROR: logging before google.Init: I0910 15:21:57.868610       1 server.go:285] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\Usuario\Desktop\CIC\7\LUIGI\amazon-waddle] appDataDir=C:\Users\Usuario\.gemini\antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0910 15:21:57.868610       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
